"";"value";"lower";"count"
"1827";"impasse des Cloÿs";"impasse des cloÿs";0
"1828";"passage des Cloÿs";"passage des cloÿs";0
"1829";"rue des Cloÿs";"rue des cloÿs";0
"1830";"voie CM/12";"voie cm/12";0
"1831";"voie CM/16";"voie cm/16";0
"1832";"voie CN/12";"voie cn/12";0
"1833";"voie CN/15";"voie cn/15";0
"1834";"voie CN/16";"voie cn/16";0
"1835";"voie CO/12";"voie co/12";0
"1836";"voie CO/16";"voie co/16";0
"1837";"rue Cochin";"rue cochin";0
"1838";"rue Coëtlogon";"rue coëtlogon";0
"1839";"villa Coeur De Vey";"villa coeur de vey";0
"1840";"rue Cognacq Jay";"rue cognacq jay";0
"1841";"galerie Colbert";"galerie colbert";0
"1842";"passage Colbert";"passage colbert";0
"1843";"rue Colbert";"rue colbert";0
"1844";"place Colette";"place colette";0
"1845";"rue du Colisée";"rue du colisée";0
"1846";"rue de la Collégiale";"rue de la collégiale";0
"1847";"villa Collet";"villa collet";0
"1848";"rue Collette";"rue collette";0
"1849";"passage Collin";"passage collin";0
"1850";"rue de Colmar";"rue de colmar";0
"1851";"rue de la Colombe";"rue de la colombe";0
"1852";"place de Colombie";"place de colombie";0
"1853";"avenue du Colonel Bonnet";"avenue du colonel bonnet";0
"1854";"place du Colonel Bourgoin";"place du colonel bourgoin";0
"1855";"rue du Colonel Colonna d'Ornano";"rue du colonel colonna d'ornano";0
"1856";"rue du Colonel Combes";"rue du colonel combes";0
"1857";"rue du Colonel Dominé";"rue du colonel dominé";0
"1858";"rue du Colonel Driant";"rue du colonel driant";0
"1859";"avenue du Colonel Henri Rol Tanguy";"avenue du colonel henri rol tanguy";0
"1860";"rue du Colonel Manhès";"rue du colonel manhès";0
"1861";"rue du Colonel Moll";"rue du colonel moll";0
"1862";"rue du Colonel Monteil";"rue du colonel monteil";0
"1863";"rue du Colonel Oudot";"rue du colonel oudot";0
"1864";"rue du Colonel Pierre Avia";"rue du colonel pierre avia";0
"1865";"rue du Colonel Rozanoff";"rue du colonel rozanoff";0
"1866";"rue des Colonels Renard";"rue des colonels renard";0
"1867";"rue de la Colonie";"rue de la colonie";0
"1868";"rue des Colonnes";"rue des colonnes";0
"1869";"rue des Colonnes Du Trône";"rue des colonnes du trône";0
"1870";"place Coluche";"place coluche";0
"1871";"place des Combattants en Afrique du Nord";"place des combattants en afrique du nord";0
"1872";"rue de la Comète";"rue de la comète";0
"1873";"rue de Commaille";"rue de commaille";0
"1874";"boulevard du Commandant Charcot";"boulevard du commandant charcot";0
"1875";"passage du Commandant Charles Martel";"passage du commandant charles martel";0
"1876";"rue du Commandant Guilbaud";"rue du commandant guilbaud";0
"1877";"rue du Commandant Lamy";"rue du commandant lamy";0
"1878";"rue du Commandant Léandri";"rue du commandant léandri";0
"1879";"rue du Commandant Marchand";"rue du commandant marchand";0
"1880";"rue du Commandant Mortenol";"rue du commandant mortenol";0
"1881";"allée du Commandant Raynal";"allée du commandant raynal";0
"1882";"rue du Commandant René Mouchotte";"rue du commandant rené mouchotte";0
"1883";"rue du Commandant Rivière";"rue du commandant rivière";0
"1884";"rue du Commandant Schloesing";"rue du commandant schloesing";0
"1885";"boulevard de la Commanderie";"boulevard de la commanderie";0
"1886";"rue du Commandeur";"rue du commandeur";0
"1887";"place du Commerce";"place du commerce";0
"1888";"impasse du Commerce";"impasse du commerce";0
"1889";"cour du Commerce Saint André";"cour du commerce saint andré";0
"1890";"passage du Commerce Saint Martin";"passage du commerce saint martin";0
"1891";"rue Commines";"rue commines";0
"1892";"place de la Commune de Paris";"place de la commune de paris";0
"1893";"rue Compans";"rue compans";0
"1894";"rue de Compiègne";"rue de compiègne";0
"1895";"villa Compoint";"villa compoint";0
"1896";"place du Comtat Venaissin";"place du comtat venaissin";0
"1897";"allée de la Comtesse de Ségur";"allée de la comtesse de ségur";0
"1898";"port de la Concorde";"port de la concorde";0
"1899";"rue de Condé";"rue de condé";0
"1900";"rue Condillac";"rue condillac";0
"1901";"cité Condorcet";"cité condorcet";0
"1902";"rue Condorcet";"rue condorcet";0
"1903";"port de la Conférence";"port de la conférence";0
"1904";"impasse de la Confiance";"impasse de la confiance";0
"1905";"rue du Congo";"rue du congo";0
"1906";"rue du Conseiller Collignon";"rue du conseiller collignon";0
"1907";"carrefour de la Conservation";"carrefour de la conservation";0
"1908";"rue du Conservatoire";"rue du conservatoire";0
"1909";"rue Constance";"rue constance";0
"1910";"rue Constant Berthaut";"rue constant berthaut";0
"1911";"avenue Constant Coquelin";"avenue constant coquelin";0
"1912";"place Constantin Brancusi";"place constantin brancusi";0
"1913";"place Constantin Pecqueur";"place constantin pecqueur";0
"1914";"rue de Constantine";"rue de constantine";0
"1915";"rue de Constantinople";"rue de constantinople";0
"1916";"rue Conté";"rue conté";0
"1917";"impasse de Conti";"impasse de conti";0
"1918";"quai de Conti";"quai de conti";0
"1919";"place de la Contrescarpe";"place de la contrescarpe";0
"1920";"rue du Conventionnel Chiappe";"rue du conventionnel chiappe";0
"1921";"rue de Copenhague";"rue de copenhague";0
"1922";"rue Copernic";"rue copernic";0
"1923";"villa Copernic";"villa copernic";0
"1924";"rue Copreaux";"rue copreaux";0
"1925";"avenue du Coq";"avenue du coq";0
"1926";"cour du Coq";"cour du coq";0
"1927";"rue Coq Héron";"rue coq héron";0
"1928";"rue Coquillière";"rue coquillière";0
"1929";"avenue de Corbera";"avenue de corbera";0
"1930";"rue Corbineau";"rue corbineau";0
"1931";"rue Corbon";"rue corbon";0
"1932";"rue des Cordelières";"rue des cordelières";0
"1933";"rue de la Corderie";"rue de la corderie";0
"1934";"impasse Cordon Boussard";"impasse cordon boussard";0
"1935";"avenue Corentin Cariou";"avenue corentin cariou";0
"1936";"rue Coriolis";"rue coriolis";0
"1937";"rue Corneille";"rue corneille";0
"1938";"impasse Corneille";"impasse corneille";0
"1939";"rue Corot";"rue corot";0
"1940";"rue de la Corrèze";"rue de la corrèze";0
"1941";"quai de la Corse";"quai de la corse";0
"1942";"rue Cortambert";"rue cortambert";0
"1943";"rue Cortot";"rue cortot";0
"1944";"rue Corvetto";"rue corvetto";0
"1945";"rue Corvisart";"rue corvisart";0
"1946";"rue de la Cossonnerie";"rue de la cossonnerie";0
"1947";"place de Costa Rica";"place de costa rica";0
"1948";"rue du Cotentin";"rue du cotentin";0
"1949";"rue des Cottages";"rue des cottages";0
"1950";"rue de Cotte";"rue de cotte";0
"1951";"passage Cottin";"passage cottin";0
"1952";"rue Couche";"rue couche";0
"1953";"rue de Coulmiers";"rue de coulmiers";0
"1954";"galerie de la Cour d'Honneur";"galerie de la cour d'honneur";0
"1955";"passage de la Cour des Fontaines";"passage de la cour des fontaines";0
"1956";"rue de la Cour des Noues";"rue de la cour des noues";0
"1957";"rue Courat";"rue courat";0
"1958";"boulevard de Courcelles";"boulevard de courcelles";0
"1959";"rue Cournot";"rue cournot";0
"1960";"rue Courtalon";"rue courtalon";0
"1961";"avenue Courteline";"avenue courteline";0
"1962";"passage Courtois";"passage courtois";0
"1963";"rue de Courty";"rue de courty";0
"1964";"rue Coustou";"rue coustou";0
"1965";"rue des Coutures Saint Gervais";"rue des coutures saint gervais";0
"1966";"cité du Couvent";"cité du couvent";0
"1967";"rue Coypel";"rue coypel";0
"1968";"rue Coysevox";"rue coysevox";0
"1969";"voie CP/12";"voie cp/12";0
"1970";"voie CP/19";"voie cp/19";0
"1971";"voie CQ/12";"voie cq/12";0
"1972";"voie CQ/15";"voie cq/15";0
"1973";"voie CR/12";"voie cr/12";0
"1974";"voie CR/15";"voie cr/15";0
"1975";"voie CR/19";"voie cr/19";0
"1976";"passage des Crayons";"passage des crayons";0
"1977";"rue Crébillon";"rue crébillon";0
"1978";"rue de la Crèche";"rue de la crèche";0
"1979";"impasse du Crédit Lyonnais";"impasse du crédit lyonnais";0
"1980";"rue Crémieux";"rue crémieux";0
"1981";"rue Crespin Du Gast";"rue crespin du gast";0
"1982";"rue Cretet";"rue cretet";0
"1983";"rue Crevaux";"rue crevaux";0
"1984";"rue Crillon";"rue crillon";0
"1985";"passage de Crimée";"passage de crimée";0
"1986";"impasse des Crins";"impasse des crins";0
"1987";"rue Cristino Garcia";"rue cristino garcia";0
"1988";"rue Crocé Spinelli";"rue crocé spinelli";0
"1989";"square du Croisic";"square du croisic";0
"1990";"rue du Croissant";"rue du croissant";0
"1991";"chemin de la Croix Catelan";"chemin de la croix catelan";0
"1992";"carrefour de la Croix Catelan";"carrefour de la croix catelan";0
"1993";"rue Croix des Petits Champs";"rue croix des petits champs";0
"1994";"rue de la Croix Faubin";"rue de la croix faubin";0
"1995";"rue de la Croix Jarry";"rue de la croix jarry";0
"1996";"rue de la Croix Moreau";"rue de la croix moreau";0
"1997";"rue de la Croix Nivert";"rue de la croix nivert";0
"1998";"villa Croix Nivert";"villa croix nivert";0
"1999";"route de la Croix Rouge";"route de la croix rouge";0
"2000";"rue de la Croix Saint Simon";"rue de la croix saint simon";0
"2001";"villa de Cronstadt";"villa de cronstadt";0
"2002";"rue de Cronstadt";"rue de cronstadt";0
"2003";"rue de Croulebarbe";"rue de croulebarbe";0
"2004";"impasse Crozatier";"impasse crozatier";0
"2005";"rue Crozatier";"rue crozatier";0
"2006";"rue de Crussol";"rue de crussol";0
"2007";"cité de Crussol";"cité de crussol";0
"2008";"voie CS/12";"voie cs/12";0
"2009";"voie CS/19";"voie cs/19";0
"2010";"voie CT/12";"voie ct/12";0
"2011";"voie CT/15";"voie ct/15";0
"2012";"voie CT/19";"voie ct/19";0
"2013";"voie CU/12";"voie cu/12";0
"2014";"voie CU/15";"voie cu/15";0
"2015";"voie CU/19";"voie cu/19";0
"2016";"rue Cugnot";"rue cugnot";0
"2017";"rue Cujas";"rue cujas";0
"2018";"rue Cunin Gridaine";"rue cunin gridaine";0
"2019";"rue de la Cure";"rue de la cure";0
"2020";"impasse du Curé";"impasse du curé";0
"2021";"villa Curial";"villa curial";0
"2022";"rue Curnonsky";"rue curnonsky";0
"2023";"rue Cuvier";"rue cuvier";0
"2024";"voie CV/12";"voie cv/12";0
"2025";"voie CV/15";"voie cv/15";0
"2026";"voie CV/19";"voie cv/19";0
"2027";"voie CW/12";"voie cw/12";0
"2028";"voie CW/15";"voie cw/15";0
"2029";"voie CW/19";"voie cw/19";0
"2030";"voie CX/12";"voie cx/12";0
"2031";"voie CX/19";"voie cx/19";0
"2032";"voie CY/12";"voie cy/12";0
"2033";"voie CY/19";"voie cy/19";0
"2034";"rue du Cygne";"rue du cygne";0
"2035";"allée des Cygnes";"allée des cygnes";0
"2036";"rue Cyrano De Bergerac";"rue cyrano de bergerac";0
"2037";"voie CZ/12";"voie cz/12";0
"2038";"voie CZ/19";"voie cz/19";0
"2039";"voie D/12";"voie d/12";0
"2040";"voie D/16";"voie d/16";0
"2041";"voie D/17";"voie d/17";0
"2042";"voie D/19";"voie d/19";0
"2043";"voie D/5";"voie d/5";0
"2044";"voie D/6";"voie d/6";0
"2045";"voie D/7";"voie d/7";0
"2046";"voie D/8";"voie d/8";0
"2047";"voie D/9";"voie d/9";0
"2048";"voie DA/12";"voie da/12";0
"2049";"voie DA/19";"voie da/19";0
"2050";"passage Dagorno";"passage dagorno";0
"2051";"rue Dagorno";"rue dagorno";0
"2052";"rue Daguerre";"rue daguerre";0
"2053";"rue du Dahomey";"rue du dahomey";0
"2054";"rue Dalayrac";"rue dalayrac";0
"2055";"place Dalida";"place dalida";0
"2056";"rue Dalloz";"rue dalloz";0
"2057";"rue Dalou";"rue dalou";0
"2058";"route de la Dame Blanche";"route de la dame blanche";0
"2059";"avenue de la Dame Blanche";"avenue de la dame blanche";0
"2060";"route des Dames";"route des dames";0
"2061";"allée des Dames";"allée des dames";0
"2062";"rue des Dames";"rue des dames";0
"2063";"impasse Damesme";"impasse damesme";0
"2064";"rue Damesme";"rue damesme";0
"2065";"rue de Damiette";"rue de damiette";0
"2066";"cour Damoye";"cour damoye";0
"2067";"rue Dampierre";"rue dampierre";0
"2068";"villa Damrémont";"villa damrémont";0
"2069";"rue Dancourt";"rue dancourt";0
"2070";"villa Dancourt";"villa dancourt";0
"2071";"rue Dangeau";"rue dangeau";0
"2072";"avenue Daniel Lesueur";"avenue daniel lesueur";0
"2073";"rue Daniel Stern";"rue daniel stern";0
"2074";"rue Danielle Casanova";"rue danielle casanova";0
"2075";"rue Dante";"rue dante";0
"2076";"rue Danton";"rue danton";0
"2077";"passage de Dantzig";"passage de dantzig";0
"2078";"rue de Dantzig";"rue de dantzig";0
"2079";"villa du Danube";"villa du danube";0
"2080";"hameau du Danube";"hameau du danube";0
"2081";"rue Danville";"rue danville";0
"2082";"impasse Dany";"impasse dany";0
"2083";"rue Darboy";"rue darboy";0
"2084";"rue Darcet";"rue darcet";0
"2085";"rue Darcy";"rue darcy";0
"2086";"rue des Dardanelles";"rue des dardanelles";0
"2087";"passage Dareau";"passage dareau";0
"2088";"rue Dareau";"rue dareau";0
"2089";"allée Darius Milhaud";"allée darius milhaud";0
"2090";"rue Darmesteter";"rue darmesteter";0
"2091";"rue Daru";"rue daru";0
"2092";"rue Darwin";"rue darwin";0
"2093";"rue Daubenton";"rue daubenton";0
"2094";"rue Daubigny";"rue daubigny";0
"2095";"villa Daumesnil";"villa daumesnil";0
"2096";"rue Daumier";"rue daumier";0
"2097";"passage Daunay";"passage daunay";0
"2098";"impasse Daunay";"impasse daunay";0
"2099";"rue Daunou";"rue daunou";0
"2100";"rue Dauphine";"rue dauphine";0
"2101";"route Dauphine";"route dauphine";0
"2102";"passage Dauphine";"passage dauphine";0
"2103";"rue Dautancourt";"rue dautancourt";0
"2104";"rue Daval";"rue daval";0
"2105";"rue David d'Angers";"rue david d'angers";0
"2106";"villa Daviel";"villa daviel";0
"2107";"rue Daviel";"rue daviel";0
"2108";"rue Davioud";"rue davioud";0
"2109";"rue Davy";"rue davy";0
"2110";"voie DB/12";"voie db/12";0
"2111";"voie DB/19";"voie db/19";0
"2112";"place DC/12";"place dc/12";0
"2113";"voie DC/13";"voie dc/13";0
"2114";"voie DC/19";"voie dc/19";0
"2115";"voie DD/12";"voie dd/12";0
"2116";"voie DD/13";"voie dd/13";0
"2117";"voie DD/19";"voie dd/19";0
"2118";"voie DE/13";"voie de/13";0
"2119";"voie DE/19";"voie de/19";0
"2120";"rue du Débarcadère";"rue du débarcadère";0
"2121";"rue Debelleyme";"rue debelleyme";0
"2122";"cité Debergue";"cité debergue";0
"2123";"avenue Debidour";"avenue debidour";0
"2124";"cour Debille";"cour debille";0
"2125";"port Debilly";"port debilly";0
"2126";"passerelle Debilly";"passerelle debilly";0
"2127";"rue Debrousse";"rue debrousse";0
"2128";"rue Decamps";"rue decamps";0
"2129";"rue des Déchargeurs";"rue des déchargeurs";0
"2130";"rue Decrès";"rue decrès";0
"2131";"impasse de la Défense";"impasse de la défense";0
"2132";"rue Degas";"rue degas";0
"2133";"rue des Degrés";"rue des degrés";0
"2134";"rue Deguerry";"rue deguerry";0
"2135";"rue Dejean";"rue dejean";0
"2136";"rue Delaitre";"rue delaitre";0
"2137";"square Delambre";"square delambre";0
"2138";"rue Delambre";"rue delambre";0
"2139";"passage Delanos";"passage delanos";0
"2140";"impasse Delaunay";"impasse delaunay";0
"2141";"rue Delbet";"rue delbet";0
"2142";"avenue Delcassé";"avenue delcassé";0
"2143";"avenue Delecourt";"avenue delecourt";0
"2144";"impasse Delépine";"impasse delépine";0
"2145";"cour Delépine";"cour delépine";0
"2146";"boulevard Delessert";"boulevard delessert";0
"2147";"passage Delessert";"passage delessert";0
"2148";"rue Delesseux";"rue delesseux";0
"2149";"impasse Deligny";"impasse deligny";0
"2150";"villa Deloder";"villa deloder";0
"2151";"rue Delouvain";"rue delouvain";0
"2152";"rue du Delta";"rue du delta";0
"2153";"rue Demarquay";"rue demarquay";0
"2154";"route de la Demi Lune";"route de la demi lune";0
"2155";"boulevard de Denain";"boulevard de denain";0
"2156";"avenue Denfert Rochereau";"avenue denfert rochereau";0
"2157";"rue Denis Poisson";"rue denis poisson";0
"2158";"rue Dénoyez";"rue dénoyez";0
"2159";"place Denys Cochin";"place denys cochin";0
"2160";"rue Déodat De Séverac";"rue déodat de séverac";0
"2161";"passage Depaquit";"passage depaquit";0
"2162";"rue Deparcieux";"rue deparcieux";0
"2163";"rue du Département";"rue du département";0
"2164";"rue Des Renaudes";"rue des renaudes";0
"2165";"square Desaix";"square desaix";0
"2166";"rue Desaix";"rue desaix";0
"2167";"rue Desargues";"rue desargues";0
"2168";"rue Désaugiers";"rue désaugiers";0
"2169";"rue Desbordes Valmore";"rue desbordes valmore";0
"2170";"rue Descartes";"rue descartes";0
"2171";"rue Descombes";"rue descombes";0
"2172";"rue Descos";"rue descos";0
"2173";"rue Desgenettes";"rue desgenettes";0
"2174";"passage Desgrais";"passage desgrais";0
"2175";"villa Deshayes";"villa deshayes";0
"2176";"passage du Désir";"passage du désir";0
"2177";"rue Désiré Ruggieri";"rue désiré ruggieri";0
"2178";"rue Désirée";"rue désirée";0
"2179";"square Desnouettes";"square desnouettes";0
"2180";"rue Desnouettes";"rue desnouettes";0
"2181";"avenue Despréaux";"avenue despréaux";0
"2182";"rue Desprez";"rue desprez";0
"2183";"rue du Dessous des Berges";"rue du dessous des berges";0
"2184";"impasse des Deux Anges";"impasse des deux anges";0
"2185";"rue des Deux Avenues";"rue des deux avenues";0
"2186";"rue des Deux Boules";"rue des deux boules";0
"2187";"impasse des Deux Cousins";"impasse des deux cousins";0
"2188";"place des Deux Écus";"place des deux écus";0
"2189";"rue des Deux Gares";"rue des deux gares";0
"2190";"impasse des Deux Néthes";"impasse des deux néthes";0
"2191";"passage des Deux Pavillons";"passage des deux pavillons";0
"2192";"rue des Deux Ponts";"rue des deux ponts";0
"2193";"passage des Deux Portes";"passage des deux portes";0
"2194";"passage des Deux Soeurs";"passage des deux soeurs";0
"2195";"allée de la Deuxième D. B.";"allée de la deuxième d. b.";0
"2196";"rue Devéria";"rue devéria";0
"2197";"voie DF/12";"voie df/12";0
"2198";"voie DF/13";"voie df/13";0
"2199";"voie DF/19";"voie df/19";0
"2200";"voie DG/12";"voie dg/12";0
"2201";"voie DG/13";"voie dg/13";0
"2202";"voie DG/19";"voie dg/19";0
"2203";"voie DH/13";"voie dh/13";0
"2204";"voie DH/19";"voie dh/19";0
"2205";"rue de la Dhuis";"rue de la dhuis";0
"2206";"voie DI/12";"voie di/12";0
"2207";"voie DI/13";"voie di/13";0
"2208";"voie DI/19";"voie di/19";0
"2209";"place Diaghilev";"place diaghilev";0
"2210";"allée Diane De Poitiers";"allée diane de poitiers";0
"2211";"square du Diapason";"square du diapason";0
"2212";"rue Diard";"rue diard";0
"2213";"rue Didot";"rue didot";0
"2214";"villa Dietz Monnin";"villa dietz monnin";0
"2215";"rue Dieu";"rue dieu";0
"2216";"passage Dieu";"passage dieu";0
"2217";"rue Dieudonné Costes";"rue dieudonné costes";0
"2218";"rue Dieulafoy";"rue dieulafoy";0
"2219";"rue de Dijon";"rue de dijon";0
"2220";"rue du Disque";"rue du disque";0
"2221";"place du Dix Huit Juin 1940";"place du dix huit juin 1940";0
"2222";"place du Dix Neuf Mars 1962";"place du dix neuf mars 1962";0
"2223";"boulevard de Dixmude";"boulevard de dixmude";0
"2224";"voie DJ/13";"voie dj/13";0
"2225";"voie DJ/19";"voie dj/19";0
"2226";"voie DK/13";"voie dk/13";0
"2227";"voie DK/19";"voie dk/19";0
"2228";"voie DK/20";"voie dk/20";0
"2229";"voie DL/13";"voie dl/13";0
"2230";"voie DL/20";"voie dl/20";0
"2231";"voie DM/13";"voie dm/13";0
"2232";"voie DM/20";"voie dm/20";0
"2233";"voie DN/12";"voie dn/12";0
"2234";"voie DN/13";"voie dn/13";0
"2235";"voie DN/19";"voie dn/19";0
"2236";"voie DO/13";"voie do/13";0
"2237";"rue du Dobropol";"rue du dobropol";0
"2238";"place du Docteur Alfred Fournier";"place du docteur alfred fournier";0
"2239";"place du Docteur Antoine Béclère";"place du docteur antoine béclère";0
"2240";"rue du Docteur Babinski";"rue du docteur babinski";0
"2241";"rue du Docteur Blanche";"rue du docteur blanche";0
"2242";"square du Docteur Blanche";"square du docteur blanche";0
"2243";"rue du Docteur Bourneville";"rue du docteur bourneville";0
"2244";"avenue du Docteur Brouardel";"avenue du docteur brouardel";0
"2245";"rue du Docteur Charles Richet";"rue du docteur charles richet";0
"2246";"place du Docteur Félix Lobligeois";"place du docteur félix lobligeois";0
"2247";"rue du Docteur Finlay";"rue du docteur finlay";0
"2248";"rue du Docteur Germain Sée";"rue du docteur germain sée";0
"2249";"avenue du Docteur Gley";"avenue du docteur gley";0
"2250";"rue du Docteur Goujon";"rue du docteur goujon";0
"2251";"place du Docteur Hayem";"place du docteur hayem";0
"2252";"rue du Docteur Heulin";"rue du docteur heulin";0
"2253";"rue du Docteur Jacquemaire Clemenceau";"rue du docteur jacquemaire clemenceau";0
"2254";"impasse du Docteur Jacques Bertillon";"impasse du docteur jacques bertillon";0
"2255";"rue du Docteur Labbé";"rue du docteur labbé";0
"2256";"rue du Docteur Lamaze";"rue du docteur lamaze";0
"2257";"rue du Docteur Lancereaux";"rue du docteur lancereaux";0
"2258";"rue du Docteur Landouzy";"rue du docteur landouzy";0
"2259";"avenue du Docteur Lannelongue";"avenue du docteur lannelongue";0
"2260";"rue du Docteur Laurent";"rue du docteur laurent";0
"2261";"rue du Docteur Lecène";"rue du docteur lecène";0
"2262";"rue du Docteur Leray";"rue du docteur leray";0
"2263";"rue du Docteur Lucas Championnière";"rue du docteur lucas championnière";0
"2264";"rue du Docteur Magnan";"rue du docteur magnan";0
"2265";"place du Docteur Navarre";"place du docteur navarre";0
"2266";"rue du Docteur Paquelin";"rue du docteur paquelin";0
"2267";"rue du Docteur Paul Brousse";"rue du docteur paul brousse";0
"2268";"place du Docteur Paul Michaux";"place du docteur paul michaux";0
"2269";"rue du Docteur Potain";"rue du docteur potain";0
"2270";"rue du Docteur Roux";"rue du docteur roux";0
"2271";"rue du Docteur Tuffier";"rue du docteur tuffier";0
"2272";"rue du Docteur Victor Hutinel";"rue du docteur victor hutinel";0
"2273";"place du Docteur Yersin";"place du docteur yersin";0
"2274";"rue des Docteurs Déjérine";"rue des docteurs déjérine";0
"2275";"avenue Dode de la Brunerie";"avenue dode de la brunerie";0
"2276";"passage Doisy";"passage doisy";0
"2277";"rue Dolomieu";"rue dolomieu";0
"2278";"route Dom Pérignon";"route dom pérignon";0
"2279";"rue Domat";"rue domat";0
"2280";"passage Dombasle";"passage dombasle";0
"2281";"impasse Dombasle";"impasse dombasle";0
"2282";"rue Dombasle";"rue dombasle";0
"2283";"rue du Dôme";"rue du dôme";0
"2284";"rue Dominique Pado";"rue dominique pado";0
"2285";"rue de Domrémy";"rue de domrémy";0
"2286";"rue Donizetti";"rue donizetti";0
"2287";"route du Donjon";"route du donjon";0
"2288";"square de la Dordogne";"square de la dordogne";0
"2289";"sente des Dorées";"sente des dorées";0
"2290";"rue Dorian";"rue dorian";0
"2291";"avenue Dorian";"avenue dorian";0
"2292";"rue Dosne";"rue dosne";0
"2293";"rue de Douai";"rue de douai";0
"2294";"rue du Douanier Rousseau";"rue du douanier rousseau";0
"2295";"boulevard de Douaumont";"boulevard de douaumont";0
"2296";"pont au Double";"pont au double";0
"2297";"voie DP/13";"voie dp/13";0
"2298";"voie DQ/13";"voie dq/13";0
"2299";"voie DR/13";"voie dr/13";0
"2300";"voie DR/20";"voie dr/20";0
"2301";"rue du Dragon";"rue du dragon";0
"2302";"rue Dranem";"rue dranem";0
"2303";"rue de Dreux";"rue de dreux";0
"2304";"rue Drevet";"rue drevet";0
"2305";"passage Driancourt";"passage driancourt";0
"2306";"rue Drouot";"rue drouot";0
"2307";"impasse Druinot";"impasse druinot";0
"2308";"voie DS/13";"voie ds/13";0
"2309";"voie DT/13";"voie dt/13";0
"2310";"rue Du Cange";"rue du cange";0
"2311";"rue Du Couédic";"rue du couédic";0
"2312";"passage Du Guesclin";"passage du guesclin";0
"2313";"rue Du Guesclin";"rue du guesclin";0
"2314";"rue Du Sommerard";"rue du sommerard";0
"2315";"voie DU/13";"voie du/13";0
"2316";"passage Dubail";"passage dubail";0
"2317";"rue Duban";"rue duban";0
"2318";"place de Dublin";"place de dublin";0
"2319";"passage Dubois";"passage dubois";0
"2320";"cité Dubourg";"cité dubourg";0
"2321";"rue Dubrunfaut";"rue dubrunfaut";0
"2322";"passage Dubuffet";"passage dubuffet";0
"2323";"rue Duc";"rue duc";0
"2324";"rue Duchefdelaville";"rue duchefdelaville";0
"2325";"passage Dudouy";"passage dudouy";0
"2326";"rue de la Duée";"rue de la duée";0
"2327";"passage de la Duée";"passage de la duée";0
"2328";"rue Dufrenoy";"rue dufrenoy";0
"2329";"villa Dufresne";"villa dufresne";0
"2330";"rue Dugommier";"rue dugommier";0
"2331";"rue Duguay Trouin";"rue duguay trouin";0
"2332";"rue Duhesme";"rue duhesme";0
"2333";"passage Duhesme";"passage duhesme";0
"2334";"rue Dulac";"rue dulac";0
"2335";"rue Dulaure";"rue dulaure";0
"2336";"place Dulcie September";"place dulcie september";0
"2337";"rue Dulong";"rue dulong";0
"2338";"passage Dumas";"passage dumas";0
"2339";"rue Duméril";"rue duméril";0
"2340";"rue Dumont d'Urville";"rue dumont d'urville";0
"2341";"rue des Dunes";"rue des dunes";0
"2342";"square Dunois";"square dunois";0
"2343";"rue Duperré";"rue duperré";0
"2344";"rue Dupetit Thouars";"rue dupetit thouars";0
"2345";"cité Dupetit Thouars";"cité dupetit thouars";0
"2346";"rue Dupin";"rue dupin";0
"2347";"cité Duplan";"cité duplan";0
"2348";"rue Dupleix";"rue dupleix";0
"2349";"place Dupleix";"place dupleix";0
"2350";"cité Dupont";"cité dupont";0
"2351";"villa Dupont";"villa dupont";0
"2352";"rue Dupont De L'Eure";"rue dupont de l'eure";0
"2353";"rue Dupont Des Loges";"rue dupont des loges";0
"2354";"impasse Dupuy";"impasse dupuy";0
"2355";"rue Dupuy De Lôme";"rue dupuy de lôme";0
"2356";"rue Dupuytren";"rue dupuytren";0
"2357";"avenue Duquesne";"avenue duquesne";0
"2358";"rue de la Durance";"rue de la durance";0
"2359";"rue Duranti";"rue duranti";0
"2360";"rue Durantin";"rue durantin";0
"2361";"rue Duranton";"rue duranton";0
"2362";"rue de Duras";"rue de duras";0
"2363";"rue Duret";"rue duret";0
"2364";"passage Duris";"passage duris";0
"2365";"rue Duris";"rue duris";0
"2366";"cité Durmar";"cité durmar";0
"2367";"rue Duroc";"rue duroc";0
"2368";"rue Durouchoux";"rue durouchoux";0
"2369";"villa Dury Vasselon";"villa dury vasselon";0
"2370";"rue Dussoubs";"rue dussoubs";0
"2371";"villa Duthy";"villa duthy";0
"2372";"rue Dutot";"rue dutot";0
"2373";"avenue Dutuit";"avenue dutuit";0
"2374";"rue Duvergier";"rue duvergier";0
"2375";"rue Duvivier";"rue duvivier";0
"2376";"voie DV/13";"voie dv/13";0
"2377";"voie DX/13";"voie dx/13";0
"2378";"place DY/13";"place dy/13";0
"2379";"voie DZ/13";"voie dz/13";0
"2380";"voie E/17";"voie e/17";0
"2381";"voie E/18";"voie e/18";0
"2382";"voie E/6";"voie e/6";0
"2383";"voie E/7";"voie e/7";0
"2384";"voie E/8";"voie e/8";0
"2385";"voie E/9";"voie e/9";0
"2386";"voie EA/13";"voie ea/13";0
"2387";"voie EA/20";"voie ea/20";0
"2388";"rue des Eaux";"rue des eaux";0
"2389";"passage des Eaux Vives";"passage des eaux vives";0
"2390";"rue Ébelmen";"rue ébelmen";0
"2391";"rue Éblé";"rue éblé";0
"2392";"voie EC/20";"voie ec/20";0
"2393";"rue de l'Échaudé";"rue de l'échaudé";0
