"";"value";"lower";"count"
"130";"boulevard de la Madeleine";"boulevard de la madeleine";4
"131";"boulevard de Ménilmontant";"boulevard de ménilmontant";4
"132";"boulevard Ornano";"boulevard ornano";4
"133";"rue de Paradis";"rue de paradis";4
"134";"boulevard Périphérique";"boulevard périphérique";4
"135";"Petit Pont";"petit pont";4
"136";"place de la Porte de Montreuil";"place de la porte de montreuil";4
"137";"rue de Provence";"rue de provence";4
"138";"rue de Richelieu";"rue de richelieu";4
"139";"rue Saint Honoré";"rue saint honoré";4
"140";"quai Saint Michel";"quai saint michel";4
"141";"rue de Sèvres";"rue de sèvres";4
"142";"rue du Temple";"rue du temple";4
"143";"place des Ternes";"place des ternes";4
"144";"rue Alain";"rue alain";3
"145";"place de l'Alma";"place de l'alma";3
"146";"rue des Amandiers";"rue des amandiers";3
"147";"quai Anatole France";"quai anatole france";3
"148";"place de la Bataille de Stalingrad";"place de la bataille de stalingrad";3
"149";"pont de Bir Hakeim";"pont de bir hakeim";3
"150";"boulevard Bourdon";"boulevard bourdon";3
"151";"quai Branly";"quai branly";3
"152";"rue Caulaincourt";"rue caulaincourt";3
"153";"avenue des Champs Élysées";"avenue des champs élysées";3
"154";"place Dauphine";"place dauphine";3
"155";"boulevard Davout";"boulevard davout";3
"156";"rue du Faubourg Poissonnière";"rue du faubourg poissonnière";3
"157";"rue du Faubourg Saint Honoré";"rue du faubourg saint honoré";3
"158";"quai François Mitterrand";"quai françois mitterrand";3
"159";"place Gambetta";"place gambetta";3
"160";"pont du Garigliano";"pont du garigliano";3
"161";"rue des Grands Champs";"rue des grands champs";3
"162";"quai de Grenelle";"quai de grenelle";3
"163";"boulevard de Grenelle";"boulevard de grenelle";3
"164";"rue de Lagny";"rue de lagny";3
"165";"quai de la Loire";"quai de la loire";3
"166";"place du Maréchal Juin";"place du maréchal juin";3
"167";"rue des Martyrs";"rue des martyrs";3
"168";"rue de Maubeuge";"rue de maubeuge";3
"169";"boulevard Montmartre";"boulevard montmartre";3
"170";"pont Morland";"pont morland";3
"171";"rue des Orteaux";"rue des orteaux";3
"172";"boulevard Pereire";"boulevard pereire";3
"173";"avenue Philippe Auguste";"avenue philippe auguste";3
"174";"place Saint Augustin";"place saint augustin";3
"175";"quai Saint Bernard";"quai saint bernard";3
"176";"avenue de Saint Ouen";"avenue de saint ouen";3
"177";"quai des Tuileries";"quai des tuileries";3
"178";"place Vendôme";"place vendôme";3
"179";"place Victor et Hélène Basch";"place victor et hélène basch";3
"180";"avenue de Villiers";"avenue de villiers";3
"181";"boulevard Vincent Auriol";"boulevard vincent auriol";3
"182";"avenue de Wagram";"avenue de wagram";3
"183";"rue Amelot";"rue amelot";2
"184";"rue des Archives";"rue des archives";2
"185";"rue Auber";"rue auber";2
"186";"rue d'Aubervilliers";"rue d'aubervilliers";2
"187";"place Auguste Baron";"place auguste baron";2
"188";"rue du Bac";"rue du bac";2
"189";"avenue Benoît Frachon";"avenue benoît frachon";2
"190";"pont de Bercy";"pont de bercy";2
"191";"boulevard de Bonne Nouvelle";"boulevard de bonne nouvelle";2
"192";"place du Carrousel";"place du carrousel";2
"193";"pont au Change";"pont au change";2
"194";"avenue de Choisy";"avenue de choisy";2
"195";"rue du Commerce";"rue du commerce";2
"196";"rue de Courcelles";"rue de courcelles";2
"197";"rue des Entrepreneurs";"rue des entrepreneurs";2
"198";"boulevard Garibaldi";"boulevard garibaldi";2
"199";"quai des Grands Augustins";"quai des grands augustins";2
"200";"pont de Grenelle";"pont de grenelle";2
"201";"rue d'Hauteville";"rue d'hauteville";2
"202";"avenue Hoche";"avenue hoche";2
"203";"place de l'Hôtel de Ville";"place de l'hôtel de ville";2
"204";"pont d'Iéna";"pont d'iéna";2
"205";"esplanade des Invalides";"esplanade des invalides";2
"206";"boulevard des Italiens";"boulevard des italiens";2
"207";"boulevard Jourdan";"boulevard jourdan";2
"208";"boulevard Lefebvre";"boulevard lefebvre";2
"209";"rue Louis Blanc";"rue louis blanc";2
"210";"rue du Louvre";"rue du louvre";2
"211";"rue Michel Chasles";"rue michel chasles";2
"212";"rue de Miromesnil";"rue de miromesnil";2
"213";"rue Monge";"rue monge";2
"214";"rue Montmartre";"rue montmartre";2
"215";"rue Nansouty";"rue nansouty";2
"216";"boulevard Ney";"boulevard ney";2
"217";"boulevard du Palais";"boulevard du palais";2
"218";"boulevard Pasteur";"boulevard pasteur";2
"219";"rue Pavée";"rue pavée";2
"220";"rue Petit";"rue petit";2
"221";"boulevard de Port Royal";"boulevard de port royal";2
"222";"place de la Porte Maillot";"place de la porte maillot";2
"223";"rue Proudhon";"rue proudhon";2
"224";"rue du Quatre Septembre";"rue du quatre septembre";2
"225";"port de la Rapée";"port de la rapée";2
"226";"rue René Boulanger";"rue rené boulanger";2
"227";"avenue René Coty";"avenue rené coty";2
"228";"boulevard de Rochechouart";"boulevard de rochechouart";2
"229";"rue Saint Antoine";"rue saint antoine";2
"230";"boulevard Saint Denis";"boulevard saint denis";2
"231";"quai de la Seine";"quai de la seine";2
"232";"rue Taine";"rue taine";2
"233";"boulevard du Temple";"boulevard du temple";2
"234";"quai de la Tournelle";"quai de la tournelle";2
"235";"boulevard de Vaugirard";"boulevard de vaugirard";2
"236";"rue Vercingétorix";"rue vercingétorix";2
"237";"avenue de Versailles";"avenue de versailles";2
"238";"avenue Victoria";"avenue victoria";2
"239";"rue Vieille du Temple";"rue vieille du temple";2
"240";"rue des Vignoles";"rue des vignoles";2
"241";"quai Voltaire";"quai voltaire";2
"242";"rue de Vouillé";"rue de vouillé";2
"243";"rue Abel";"rue abel";1
"244";"rue Alexandre Dumas";"rue alexandre dumas";1
"245";"pont Alexandre III";"pont alexandre iii";1
"246";"place André Malraux";"place andré malraux";1
"247";"avenue André Rivoire";"avenue andré rivoire";1
"248";"boulevard Arago";"boulevard arago";1
"249";"pont de l'Archevêché";"pont de l'archevêché";1
"250";"rue d'Arcole";"rue d'arcole";1
"251";"pont d'Arcole";"pont d'arcole";1
"252";"rue de l'Arrivée";"rue de l'arrivée";1
"253";"rue d'Artois";"rue d'artois";1
"254";"rue d'Assas";"rue d'assas";1
"255";"place Auguste Métivier";"place auguste métivier";1
"256";"place Balard";"place balard";1
"257";"rue Bargue";"rue bargue";1
"258";"rue Barrault";"rue barrault";1
"259";"rue Basfroi";"rue basfroi";1
"260";"boulevard des Batignolles";"boulevard des batignolles";1
"261";"rue Baudricourt";"rue baudricourt";1
"262";"rue Belgrand";"rue belgrand";1
"263";"quai de Bercy";"quai de bercy";1
"264";"boulevard de Bercy";"boulevard de bercy";1
"265";"rue des Bernardins";"rue des bernardins";1
"266";"rue Berthollet";"rue berthollet";1
"267";"rue Bichat";"rue bichat";1
"268";"rue Boissy d'Anglas";"rue boissy d'anglas";1
"269";"rue de Boulainvilliers";"rue de boulainvilliers";1
"270";"rue des Boulets";"rue des boulets";1
"271";"rue Buzelin";"rue buzelin";1
"272";"rue Cabanis";"rue cabanis";1
"273";"place Cambronne";"place cambronne";1
"274";"rue Caplat";"rue caplat";1
"275";"rue du Cardinal Lemoine";"rue du cardinal lemoine";1
"276";"rue Cardinet";"rue cardinet";1
"277";"rue des Cascades";"rue des cascades";1
"278";"rue de Castiglione";"rue de castiglione";1
"279";"quai des Célestins";"quai des célestins";1
"280";"rue de Chabrol";"rue de chabrol";1
"281";"rue Chanzy";"rue chanzy";1
"282";"pont Charles De Gaulle";"pont charles de gaulle";1
"283";"rue du Cher";"rue du cher";1
"284";"rue du Cherche Midi";"rue du cherche midi";1
"285";"rue Claude Bernard";"rue claude bernard";1
"286";"rue de Cléry";"rue de cléry";1
"287";"rue de Clignancourt";"rue de clignancourt";1
"288";"rue Clisson";"rue clisson";1
"289";"rue de Cluny";"rue de cluny";1
"290";"rue du Commandant L'Herminier";"rue du commandant l'herminier";1
"291";"rue des Couronnes";"rue des couronnes";1
"292";"rue Curial";"rue curial";1
"293";"rue Custine";"rue custine";1
"294";"rue Damrémont";"rue damrémont";1
"295";"avenue David Weill";"avenue david weill";1
"296";"rue du Départ";"rue du départ";1
"297";"avenue du Docteur Arnold Netter";"avenue du docteur arnold netter";1
"298";"rue Doudeauville";"rue doudeauville";1
"299";"rue de Dunkerque";"rue de dunkerque";1
"300";"rue Dunois";"rue dunois";1
"301";"rue Duphot";"rue duphot";1
"302";"rue des Écoles";"rue des écoles";1
"303";"place Edmond Rostand";"place edmond rostand";1
"304";"rue de l'Espérance";"rue de l'espérance";1
"305";"boulevard Exelmans";"boulevard exelmans";1
"306";"place Félix Éboué";"place félix éboué";1
"307";"place des Fêtes";"place des fêtes";1
"308";"rue de la Fidélité";"rue de la fidélité";1
"309";"rue Fléchier";"rue fléchier";1
"310";"rue du Four";"rue du four";1
"311";"rue des Francs Bourgeois";"rue des francs bourgeois";1
"312";"avenue de Friedland";"avenue de friedland";1
"313";"rue Gandon";"rue gandon";1
"314";"rue Ganneron";"rue ganneron";1
"315";"quai de la Gare";"quai de la gare";1
"316";"square de la Gascogne";"square de la gascogne";1
"317";"place du Général Catroux";"place du général catroux";1
"318";"avenue George V";"avenue george v";1
"319";"rue de la Glacière";"rue de la glacière";1
"320";"rue de la Grange Aux Belles";"rue de la grange aux belles";1
"321";"rue Henri Barbusse";"rue henri barbusse";1
"322";"quai Henri IV";"quai henri iv";1
"323";"boulevard des Invalides";"boulevard des invalides";1
"324";"rue Jacob";"rue jacob";1
"325";"port de Javel";"port de javel";1
"326";"rue Jean de Beauvais";"rue jean de beauvais";1
"327";"avenue Jean Moulin";"avenue jean moulin";1
"328";"rue Jean Pierre Timbaud";"rue jean pierre timbaud";1
"329";"rue Joseph Dijon";"rue joseph dijon";1
"330";"rue Jouffroy d'Abbans";"rue jouffroy d'abbans";1
"331";"boulevard Kellermann";"boulevard kellermann";1
"332";"avenue Kléber";"avenue kléber";1
"333";"rue La Boétie";"rue la boétie";1
"334";"place Lachambeaudie";"place lachambeaudie";1
"335";"rue de Lancry";"rue de lancry";1
"336";"rue de la Légion Étrangère";"rue de la légion étrangère";1
"337";"rue Léon";"rue léon";1
"338";"rue Linois";"rue linois";1
"339";"rue de Lobau";"rue de lobau";1
"340";"rue de Londres";"rue de londres";1
"341";"rue Louis Lumière";"rue louis lumière";1
"342";"place du Louvre";"place du louvre";1
