"";"value";"n"
"239";"porte d'asnières";3
"240";"porte de châtillon";3
"241";"porte de choisy";3
"242";"porte de paris";3
"243";"porte de saint-ouen";3
"244";"porte dorée";3
"245";"route que";3
"246";"route qui";3
"247";"route urbaine";3
"248";"rue alain";3
"249";"rue caulaincourt";3
"250";"rue de chateaudun";3
"251";"rue de lagny";3
"252";"rue de maubeuge";3
"253";"rue de paradis";3
"254";"rue des amandiers";3
"255";"rue des grands";3
"256";"rue des martyrs";3
"257";"rue des orteaux";3
"258";"rue du chateau";3
"259";"rue du faubourg poissonnière";3
"260";"rue du faubourg saint-denis";3
"261";"rue du faubourg saint-martin";3
"262";"rue du faubourg saint honoré";3
"263";"rue fbg";3
"264";"rue jean";3
"265";"rue louis";3
"266";"rue maubeuge";3
"267";"rue max";3
"268";"rue ou";3
"269";"rue rené";3
"270";"rue saint-honoré";3
"271";"rue st jacques";3
"272";"rue vieille";3
"273";"avenue benoît";2
"274";"avenue charles";2
"275";"avenue de choisy";2
"276";"avenue de la republique";2
"277";"avenue de versailles";2
"278";"avenue du gal";2
"279";"avenue du maréchal";2
"280";"avenue du roule";2
"281";"avenue et";2
"282";"avenue hoche";2
"283";"avenue qui";2
"284";"avenue rené";2
"285";"avenue rivoli";2
"286";"avenue sans";2
"287";"avenue victoria";2
"288";"boulevard de bonne";2
"289";"boulevard de la";2
"290";"boulevard de la république";2
"291";"boulevard de port";2
"292";"boulevard de rochechouart";2
"293";"boulevard de vaugirard";2
"294";"boulevard de voltaire";2
"295";"boulevard des italiens";2
"296";"boulevard des marechaux";2
"297";"boulevard du palais";2
"298";"boulevard du temple";2
"299";"boulevard entre";2
"300";"boulevard est";2
"301";"boulevard extérieur";2
"302";"boulevard garibaldi";2
"303";"boulevard hausmann";2
"304";"boulevard hausseman";2
"305";"boulevard jourdan";2
"306";"boulevard lafayette";2
"307";"boulevard lefebvre";2
"308";"boulevard massena";2
"309";"boulevard ney";2
"310";"boulevard pasteur";2
"311";"boulevard poissonnières";2
"312";"boulevard saint-denis";2
"313";"boulevard saint-martin";2
"314";"boulevard saint denis";2
"315";"boulevard sans";2
"316";"boulevard st-michel";2
"317";"place basch";2
"318";"place de l'étoil";2
"319";"place de l'hôtel";2
"320";"place de la concord";2
"321";"place de la republique";2
"322";"place de parking";2
"323";"place de stalingrad";2
"324";"place denfer";2
"325";"place des vélos";2
"326";"place du caroussel";2
"327";"place du carrousel";2
"328";"place du même";2
"329";"place est";2
"330";"place iéna";2
"331";"place pereire";2
"332";"place st michel";2
"333";"place sur";2
"334";"porte clichy";2
"335";"porte d'asnieres";2
"336";"porte d'auteuil";2
"337";"porte de bercy";2
"338";"porte de la muette";2
"339";"porte de saint-cloud";2
"340";"porte de saint ouen";2
"341";"porte saint martin";2
"342";"route mais";2
"343";"route ou";2
"344";"route parce";2
"345";"rue alesia";2
"346";"rue amelot";2
"347";"rue auber";2
"348";"rue avec";2
"349";"rue claude";2
"350";"rue comme";2
"351";"rue d";2
"352";"rue d'aubervilliers";2
"353";"rue d'hauteville";2
"354";"rue de courcelles";2
"355";"rue de flandre";2
"356";"rue de flandres";2
"357";"rue de l'amiral";2
"358";"rue de la";2
"359";"rue de la fayette";2
"360";"rue de miromesnil";2
"361";"rue de sevres";2
"362";"rue de vouillé";2
"363";"rue des archives";2
"364";"rue des entrepreneurs";2
"365";"rue des saints";2
"366";"rue des vignoles";2
"367";"rue du";2
"368";"rue du bac";2
"369";"rue du commandant";2
"370";"rue du commerce";2
"371";"rue du faubourg st martin";2
"372";"rue du louvre";2
"373";"rue du pont";2
"374";"rue du quatre";2
"375";"rue et";2
"376";"rue fbrg";2
"377";"rue ledru";2
"378";"rue michel";2
"379";"rue monge";2
"380";"rue montmartre";2
"381";"rue nansouty";2
"382";"rue ne";2
"383";"rue où";2
"384";"rue par";2
"385";"rue pavées";2
"386";"rue proudhon";2
"387";"rue que";2
"388";"rue reaumur";2
"389";"rue saint antoine";2
"390";"rue sens";2
"391";"rue st antoine";2
"392";"rue st denis";2
"393";"rue st martin";2
"394";"rue st maur";2
"395";"rue taine";2
"396";"rue vaugirard";2
"397";"rue vercingetorix";2
"398";"rue vercingétorix";2
"399";"avenue andré";1
"400";"avenue clichy";1
"401";"avenue d'avron";1
"402";"avenue d'iena";1
"403";"avenue dans";1
"404";"avenue dausmenil";1
"405";"avenue david";1
"406";"avenue de belleville";1
"407";"avenue de châtelet";1
"408";"avenue de fontainebleau";1
"409";"avenue de friedland";1
"410";"avenue de l";1
"411";"avenue de magenta";1
"412";"avenue de neuilly";1
"413";"avenue de new";1
"414";"avenue de paris";1
"415";"avenue de porte";1
"416";"avenue de rivoli";1
"417";"avenue de saint-ouen";1
"418";"avenue de st maurice";1
"419";"avenue des flandres";1
"420";"avenue diderot";1
"421";"avenue du docteur";1
"422";"avenue du general de";1
"423";"avenue du general leclerc";1
"424";"avenue du général lecletc";1
"425";"avenue du nord";1
"426";"avenue du président";1
"427";"avenue entre";1
"428";"avenue general leclerc";1
"429";"avenue george";1
"430";"avenue grande";1
"431";"avenue j";1
"432";"avenue jfk";1
"433";"avenue jules";1
"434";"avenue jusqu";1
"435";"avenue kléber";1
"436";"avenue lafayette";1
"437";"avenue majenta";1
"438";"avenue marx";1
"439";"avenue michel";1
"440";"avenue michelet";1
"441";"avenue montaigne";1
"442";"avenue opéra";1
"443";"avenue ou";1
"444";"avenue parallèle";1
"445";"avenue pierre";1
"446";"avenue porte";1
"447";"avenue raymond";1
"448";"avenue reille";1
"449";"avenue rendant";1
"450";"avenue rêne";1
"451";"avenue voltaires";1
"452";"boulevard arago";1
"453";"boulevard avec";1
"454";"boulevard batignoles";1
"455";"boulevard batignolled";1
"456";"boulevard bessiere";1
"457";"boulevard circulaire";1
"458";"boulevard d";1
"459";"boulevard d'ornano";1
"460";"boulevard de barbès";1
"461";"boulevard de beleville";1
"462";"boulevard de belle";1
"463";"boulevard de bercy";1
"464";"boulevard de convention";1
"465";"boulevard de garibaldi";1
"466";"boulevard de l'opéra";1
"467";"boulevard de la bataille";1
"468";"boulevard de la chappelle";1
"469";"boulevard de menilmontant";1
"470";"boulevard de montparnasse";1
"471";"boulevard de picpus";1
"472";"boulevard de reuilly";1
"473";"boulevard de rochechouard";1
"474";"boulevard de sébastapol";1
"475";"boulevard des batignolles";1
"476";"boulevard des capucins";1
"477";"boulevard des gobelins";1
"478";"boulevard des invalides";1
"479";"boulevard des maraichaux";1
"480";"boulevard devant";1
"481";"boulevard du faubourg montmartre";1
"482";"boulevard du général d";1
"483";"boulevard du general leclerc";1
"484";"boulevard du général leclerc";1
"485";"boulevard du port";1
"486";"boulevard etc";1
"487";"boulevard exelman";1
"488";"boulevard exelmans";1
"489";"boulevard froidevaux";1
"490";"boulevard gambetta";1
"491";"boulevard gouvion";1
"492";"boulevard henri";1
"493";"boulevard kellermann";1
"494";"boulevard la chapelle";1
"495";"boulevard lenoir";1
"496";"boulevard majenta";1
"497";"boulevard malesher";1
"498";"boulevard malesherbe";1
"499";"boulevard malsherbe";1
"500";"boulevard mangeta";1
"501";"boulevard marcel";1
"502";"boulevard menilmontant";1
"503";"boulevard ménilmontant";1
"504";"boulevard morland";1
"505";"boulevard partant";1
"506";"boulevard peirere";1
"507";"boulevard péreire";1
"508";"boulevard réaumur";1
"509";"boulevard richechouart";1
"510";"boulevard rivoli";1
"511";"boulevard saint-jacques";1
"512";"boulevard saint antoine";1
"513";"boulevard saintgermain";1
"514";"boulevard st antoine";1
"515";"boulevard st denis";1
"516";"boulevard st mivhrl";1
"517";"boulevard st.germain";1
"518";"boulevard ternes";1
"519";"boulevard très";1
"520";"boulevard villette";1
"521";"place alésia";1
"522";"place andré";1
"523";"place au";1
"524";"place balard";1
"525";"place barbès";1
"526";"place beaucoup";1
"527";"place bienvenue";1
"528";"place cambronne";1
"529";"place ch";1
"530";"place châtelet";1
"531";"place concore";1
"532";"place d'alesia";1
"533";"place d'austerlitz";1
"534";"place d'italié";1
"535";"place dans";1
"536";"place daumesnile";1
"537";"place de croiser";1
"538";"place de faire";1
"539";"place de l'arc";1
"540";"place de l'opera";1
"541";"place de l'toile";1
"542";"place de la";1
"543";"place de la bastielle";1
"544";"place de la catalogne";1
"545";"place de la concerde";1
"546";"place de labastille";1
"547";"place de paris";1
"548";"place de pistes";1
"549";"place de stationnement";1
"550";"place démesurée";1
"551";"place des fêtes";1
"552";"place des pistes";1
"553";"place donné";1
"554";"place du carroussel";1
"555";"place du général catroux";1
"556";"place du louvres";1
"557";"place du montparnasse";1
"558";"place du palais";1
"559";"place du père";1
"560";"place du petit";1
"561";"place du tram";1
"562";"place du trocadero";1
"563";"place edmond";1
"564";"place entre";1
"565";"place et";1
